"Df","SumOfSqs","R2","F","Pr(>F)","species"
1,6.23346833333333,0.277875737998573,2.30881929291574,0.117,"MCAV_4.57"
6,16.1991066666667,0.722124262001427,NA,NA,"MCAV_4.57"
7,22.432575,1,NA,NA,"MCAV_4.57"
1,11.619203125,0.321558645884422,2.84380051953297,0.14,"MCAV_9.14"
6,24.51480625,0.678441354115578,NA,NA,"MCAV_9.14"
7,36.134009375,1,NA,NA,"MCAV_9.14"
1,48.6613005555555,0.726030646182166,18.5503029899264,0.007,"MCAV_13.72"
7,18.362455,0.273969353817834,NA,NA,"MCAV_13.72"
8,67.0237555555556,1,NA,NA,"MCAV_13.72"
1,16.7117,0.640887778964913,14.2771588695622,0.011,"MCAV_16.76"
8,9.36416,0.359112221035088,NA,NA,"MCAV_16.76"
9,26.07586,1,NA,NA,"MCAV_16.76"
1,32.0444166666667,0.476907385216569,9.11707356858818,0.007,"OFAV_4.57"
10,35.1477,0.523092614783431,NA,NA,"OFAV_4.57"
11,67.1921166666667,1,NA,NA,"OFAV_4.57"
1,7.74730119047619,0.196842127104978,1.2254261194966,0.352,"OFAV_9.14"
5,31.6106416666667,0.803157872895022,NA,NA,"OFAV_9.14"
6,39.3579428571429,1,NA,NA,"OFAV_9.14"
1,9.85217,0.233340272789304,2.43487705961293,0.148,"OFAV_13.72"
8,32.37016,0.766659727210696,NA,NA,"OFAV_13.72"
9,42.22233,1,NA,NA,"OFAV_13.72"
1,50.46089,0.359075852119432,4.48197626264309,0.066,"OFAV_16.76"
8,90.069,0.640924147880568,NA,NA,"OFAV_16.76"
9,140.52989,1,NA,NA,"OFAV_16.76"
1,10.7483019518797,0.315932684279909,3.69475549577853,0.066,"OFRA_4.57"
8,23.2725590944467,0.684067315720091,NA,NA,"OFRA_4.57"
9,34.0208610463264,1,NA,NA,"OFRA_4.57"
1,69.4773836732812,0.607417091985536,12.3778611770466,0.011,"OFRA_9.14"
8,44.9042901221866,0.392582908014464,NA,NA,"OFRA_9.14"
9,114.381673795468,1,NA,NA,"OFRA_9.14"
1,72.1100624279743,0.821419525227037,36.7977306039238,0.009,"OFRA_13.72"
8,15.6770673070334,0.178580474772963,NA,NA,"OFRA_13.72"
9,87.7871297350077,1,NA,NA,"OFRA_13.72"
1,31.526480495235,0.383345809122161,4.97323543461465,0.065,"OFRA_16.76"
8,50.7138355458578,0.616654190877838,NA,NA,"OFRA_16.76"
9,82.2403160410928,1,NA,NA,"OFRA_16.76"
1,14.06626,0.331998378038758,3.97601882539166,0.02,"AAGA_4.57"
8,28.3022,0.668001621961242,NA,NA,"AAGA_4.57"
9,42.36846,1,NA,NA,"AAGA_4.57"
1,23.75657,0.416628069809307,5.7133783543287,0.03,"AAGA_9.14"
8,33.26448,0.583371930190693,NA,NA,"AAGA_9.14"
9,57.02105,1,NA,NA,"AAGA_9.14"
1,16.21841,0.119812353391853,1.08897100615812,0.306,"AAGA_13.72"
8,119.14668,0.880187646608147,NA,NA,"AAGA_13.72"
9,135.36509,1,NA,NA,"AAGA_13.72"
1,5.20627611111111,0.237517893748644,2.18054331060251,0.162,"AAGA_16.76"
7,16.713235,0.762482106251356,NA,NA,"AAGA_16.76"
8,21.9195111111111,1,NA,NA,"AAGA_16.76"
1,2.29321,0.110252335976807,0.991313294182998,0.459,"PAST_4.57"
8,18.50644,0.889747664023193,NA,NA,"PAST_4.57"
9,20.79965,1,NA,NA,"PAST_4.57"
1,0.0264625000000009,0.000528782159983972,0.00317437151092797,1,"PAST_9.14"
6,50.017775,0.999471217840016,NA,NA,"PAST_9.14"
7,50.0442375,1,NA,NA,"PAST_9.14"
1,1.33465,0.02358716896182,0.193255706701361,0.701,"PAST_13.72"
8,55.24908,0.97641283103818,NA,NA,"PAST_13.72"
9,56.58373,1,NA,NA,"PAST_13.72"
1,0.802796111111111,0.0212069611250792,0.15166508340332,0.808,"PAST_16.76"
7,37.052515,0.978793038874921,NA,NA,"PAST_16.76"
8,37.8553111111111,1,NA,NA,"PAST_16.76"
1,1.44134645441158,0.133169464958869,1.22902421708114,0.322,"PPOR_4.57"
8,9.38205405152834,0.866830535041131,NA,NA,"PPOR_4.57"
9,10.8234005059399,1,NA,NA,"PPOR_4.57"
1,5.08793698847709,0.293378864481656,3.32148417005892,0.109,"PPOR_9.14"
8,12.2546108377493,0.706621135518345,NA,NA,"PPOR_9.14"
9,17.3425478262264,1,NA,NA,"PPOR_9.14"
1,2.11124185549276,0.227381343752999,1.76579746228888,0.233,"PPOR_13.72"
6,7.173784878214,0.772618656247001,NA,NA,"PPOR_13.72"
7,9.28502673370677,1,NA,NA,"PPOR_13.72"
1,3.66137366324496,0.194144021411474,1.68641566978339,0.252,"PPOR_16.76"
7,15.1976858979297,0.805855978588526,NA,NA,"PPOR_16.76"
8,18.8590595611746,1,NA,NA,"PPOR_16.76"
